施設,年月日,時刻,人数
近江町市場,2025/9/7,19,24
近江町市場,2025/9/7,20,8
近江町市場,2025/9/7,21,8
近江町市場,2025/9/7,22,7
近江町市場,2025/9/7,23,6
近江町市場,2025/9/8,0,3
近江町市場,2025/9/8,1,6
近江町市場,2025/9/8,2,2
近江町市場,2025/9/8,3,4
近江町市場,2025/9/8,4,7
近江町市場,2025/9/8,5,8
近江町市場,2025/9/8,6,5
近江町市場,2025/9/8,7,11
近江町市場,2025/9/8,8,33
近江町市場,2025/9/8,9,44
近江町市場,2025/9/8,10,50
近江町市場,2025/9/8,11,60
近江町市場,2025/9/8,12,52
近江町市場,2025/9/8,13,39
近江町市場,2025/9/8,14,42
近江町市場,2025/9/8,15,40
近江町市場,2025/9/8,16,25
近江町市場,2025/9/8,17,24
近江町市場,2025/9/8,18,20
近江町市場,2025/9/8,19,10
近江町市場,2025/9/8,20,9
近江町市場,2025/9/8,21,3
近江町市場,2025/9/8,22,5
近江町市場,2025/9/8,23,3
近江町市場,2025/9/9,0,3
近江町市場,2025/9/9,1,2
近江町市場,2025/9/9,2,4
近江町市場,2025/9/9,3,4
近江町市場,2025/9/9,4,8
近江町市場,2025/9/9,5,10
近江町市場,2025/9/9,6,18
近江町市場,2025/9/9,7,32
近江町市場,2025/9/9,8,39
近江町市場,2025/9/9,9,62
近江町市場,2025/9/9,10,78
近江町市場,2025/9/9,11,71
近江町市場,2025/9/9,12,75
近江町市場,2025/9/9,13,79
近江町市場,2025/9/9,14,57
近江町市場,2025/9/9,15,47
近江町市場,2025/9/9,16,0
近江町市場,2025/9/9,17,0
近江町市場,2025/9/9,18,0
近江町市場,2025/9/9,19,0
近江町市場,2025/9/9,20,0
近江町市場,2025/9/9,21,0
近江町市場,2025/9/9,22,0
近江町市場,2025/9/9,23,0
兼六園,2025/9/1,0,0
兼六園,2025/9/1,1,0
兼六園,2025/9/1,2,0
兼六園,2025/9/1,3,0
兼六園,2025/9/1,4,0
兼六園,2025/9/1,5,0
兼六園,2025/9/1,6,0
兼六園,2025/9/1,7,0
兼六園,2025/9/1,8,0
兼六園,2025/9/1,9,0
兼六園,2025/9/1,10,0
兼六園,2025/9/1,11,0
兼六園,2025/9/1,12,0
兼六園,2025/9/1,13,0
兼六園,2025/9/1,14,0
兼六園,2025/9/1,15,0
兼六園,2025/9/1,16,0
兼六園,2025/9/1,17,0
兼六園,2025/9/1,18,0
兼六園,2025/9/1,19,0
兼六園,2025/9/1,20,0
兼六園,2025/9/1,21,0
兼六園,2025/9/1,22,0
兼六園,2025/9/1,23,0
兼六園,2025/9/2,0,0
兼六園,2025/9/2,1,0
兼六園,2025/9/2,2,0
兼六園,2025/9/2,3,0
兼六園,2025/9/2,4,0
兼六園,2025/9/2,5,0
兼六園,2025/9/2,6,0
兼六園,2025/9/2,7,0
兼六園,2025/9/2,8,0
兼六園,2025/9/2,9,0
兼六園,2025/9/2,10,0
兼六園,2025/9/2,11,25
兼六園,2025/9/2,12,28
兼六園,2025/9/2,13,30
兼六園,2025/9/2,14,28
兼六園,2025/9/2,15,19
兼六園,2025/9/2,16,18
兼六園,2025/9/2,17,13
兼六園,2025/9/2,18,7
兼六園,2025/9/2,19,8
兼六園,2025/9/2,20,5
兼六園,2025/9/2,21,2
兼六園,2025/9/2,22,2
兼六園,2025/9/2,23,2
兼六園,2025/9/3,0,1
兼六園,2025/9/3,1,0
兼六園,2025/9/3,2,1
兼六園,2025/9/3,3,0
兼六園,2025/9/3,4,2
兼六園,2025/9/3,5,4
兼六園,2025/9/3,6,4
兼六園,2025/9/3,7,8
兼六園,2025/9/3,8,16
兼六園,2025/9/3,9,24
兼六園,2025/9/3,10,25
兼六園,2025/9/3,11,28
兼六園,2025/9/3,12,37
兼六園,2025/9/3,13,38
兼六園,2025/9/3,14,29
兼六園,2025/9/3,15,25
兼六園,2025/9/3,16,20
兼六園,2025/9/3,17,11
兼六園,2025/9/3,18,10
兼六園,2025/9/3,19,7
兼六園,2025/9/3,20,6
兼六園,2025/9/3,21,4
兼六園,2025/9/3,22,1
兼六園,2025/9/3,23,3
兼六園,2025/9/4,0,1
兼六園,2025/9/4,1,0
兼六園,2025/9/4,2,1
兼六園,2025/9/4,3,1
兼六園,2025/9/4,4,2
兼六園,2025/9/4,5,3
兼六園,2025/9/4,6,6
兼六園,2025/9/4,7,11
兼六園,2025/9/4,8,17
兼六園,2025/9/4,9,27
兼六園,2025/9/4,10,30
兼六園,2025/9/4,11,24
兼六園,2025/9/4,12,28
兼六園,2025/9/4,13,32
兼六園,2025/9/4,14,30
兼六園,2025/9/4,15,26
兼六園,2025/9/4,16,20
兼六園,2025/9/4,17,12
兼六園,2025/9/4,18,9
兼六園,2025/9/4,19,8
兼六園,2025/9/4,20,4
兼六園,2025/9/4,21,3
兼六園,2025/9/4,22,2
兼六園,2025/9/4,23,2
兼六園,2025/9/5,0,1
兼六園,2025/9/5,1,1
兼六園,2025/9/5,2,0
兼六園,2025/9/5,3,0
兼六園,2025/9/5,4,2
兼六園,2025/9/5,5,3
兼六園,2025/9/5,6,3
兼六園,2025/9/5,7,8
兼六園,2025/9/5,8,14
兼六園,2025/9/5,9,28
兼六園,2025/9/5,10,28
兼六園,2025/9/5,11,28
兼六園,2025/9/5,12,34
兼六園,2025/9/5,13,36
兼六園,2025/9/5,14,28
兼六園,2025/9/5,15,26
兼六園,2025/9/5,16,17
兼六園,2025/9/5,17,14
兼六園,2025/9/5,18,6
兼六園,2025/9/5,19,7
兼六園,2025/9/5,20,5
兼六園,2025/9/5,21,3
兼六園,2025/9/5,22,2
兼六園,2025/9/5,23,2
兼六園,2025/9/6,0,0
兼六園,2025/9/6,1,1
兼六園,2025/9/6,2,1
兼六園,2025/9/6,3,1
兼六園,2025/9/6,4,2
兼六園,2025/9/6,5,4
兼六園,2025/9/6,6,5
兼六園,2025/9/6,7,11
兼六園,2025/9/6,8,15
兼六園,2025/9/6,9,35
兼六園,2025/9/6,10,36
兼六園,2025/9/6,11,33
兼六園,2025/9/6,12,30
兼六園,2025/9/6,13,30
兼六園,2025/9/6,14,28
兼六園,2025/9/6,15,26
兼六園,2025/9/6,16,19
兼六園,2025/9/6,17,16
兼六園,2025/9/6,18,10
兼六園,2025/9/6,19,8
兼六園,2025/9/6,20,6
兼六園,2025/9/6,21,2
兼六園,2025/9/6,22,2
兼六園,2025/9/6,23,0
兼六園,2025/9/7,0,0
兼六園,2025/9/7,1,0
兼六園,2025/9/7,2,0
兼六園,2025/9/7,3,0
兼六園,2025/9/7,4,2
兼六園,2025/9/7,5,4
兼六園,2025/9/7,6,5
兼六園,2025/9/7,7,9
兼六園,2025/9/7,8,16
兼六園,2025/9/7,9,21
兼六園,2025/9/7,10,24
兼六園,2025/9/7,11,28
兼六園,2025/9/7,12,32
兼六園,2025/9/7,13,34
兼六園,2025/9/7,14,31
兼六園,2025/9/7,15,21
兼六園,2025/9/7,16,15
兼六園,2025/9/7,17,10
兼六園,2025/9/7,18,6
兼六園,2025/9/7,19,9
兼六園,2025/9/7,20,3
兼六園,2025/9/7,21,3
兼六園,2025/9/7,22,2
兼六園,2025/9/7,23,2
兼六園,2025/9/8,0,1
兼六園,2025/9/8,1,2
兼六園,2025/9/8,2,0
兼六園,2025/9/8,3,1
兼六園,2025/9/8,4,2
兼六園,2025/9/8,5,3
兼六園,2025/9/8,6,2
兼六園,2025/9/8,7,4
兼六園,2025/9/8,8,13
兼六園,2025/9/8,9,17
兼六園,2025/9/8,10,20
兼六園,2025/9/8,11,24
兼六園,2025/9/8,12,20
兼六園,2025/9/8,13,15
兼六園,2025/9/8,14,16
兼六園,2025/9/8,15,16
兼六園,2025/9/8,16,10
兼六園,2025/9/8,17,9
兼六園,2025/9/8,18,8
兼六園,2025/9/8,19,4
兼六園,2025/9/8,20,3
兼六園,2025/9/8,21,1
兼六園,2025/9/8,22,2
兼六園,2025/9/8,23,1
兼六園,2025/9/9,0,1
兼六園,2025/9/9,1,0
兼六園,2025/9/9,2,1
兼六園,2025/9/9,3,1
兼六園,2025/9/9,4,3
兼六園,2025/9/9,5,4
兼六園,2025/9/9,6,7
兼六園,2025/9/9,7,12
兼六園,2025/9/9,8,15
兼六園,2025/9/9,9,24
兼六園,2025/9/9,10,31
兼六園,2025/9/9,11,28
兼六園,2025/9/9,12,30
兼六園,2025/9/9,13,31
兼六園,2025/9/9,14,22
兼六園,2025/9/9,15,18
兼六園,2025/9/9,16,0
兼六園,2025/9/9,17,0
兼六園,2025/9/9,18,0
兼六園,2025/9/9,19,0
