施設,年月日,時刻,人数
近江町市場,2024/10/22,19,24
近江町市場,2024/10/22,20,8
近江町市場,2024/10/22,21,8
近江町市場,2024/10/22,22,7
近江町市場,2024/10/22,23,6
近江町市場,2024/10/23,0,3
近江町市場,2024/10/23,1,6
近江町市場,2024/10/23,2,2
近江町市場,2024/10/23,3,4
近江町市場,2024/10/23,4,7
近江町市場,2024/10/23,5,8
近江町市場,2024/10/23,6,5
近江町市場,2024/10/23,7,11
近江町市場,2024/10/23,8,33
近江町市場,2024/10/23,9,44
近江町市場,2024/10/23,10,50
近江町市場,2024/10/23,11,60
近江町市場,2024/10/23,12,52
近江町市場,2024/10/23,13,39
近江町市場,2024/10/23,14,42
近江町市場,2024/10/23,15,40
近江町市場,2024/10/23,16,25
近江町市場,2024/10/23,17,24
近江町市場,2024/10/23,18,20
近江町市場,2024/10/23,19,10
近江町市場,2024/10/23,20,9
近江町市場,2024/10/23,21,3
近江町市場,2024/10/23,22,5
近江町市場,2024/10/23,23,3
近江町市場,2024/10/24,0,3
近江町市場,2024/10/24,1,2
近江町市場,2024/10/24,2,4
近江町市場,2024/10/24,3,4
近江町市場,2024/10/24,4,8
近江町市場,2024/10/24,5,10
近江町市場,2024/10/24,6,18
近江町市場,2024/10/24,7,32
近江町市場,2024/10/24,8,39
近江町市場,2024/10/24,9,62
近江町市場,2024/10/24,10,78
近江町市場,2024/10/24,11,71
近江町市場,2024/10/24,12,75
近江町市場,2024/10/24,13,79
近江町市場,2024/10/24,14,57
近江町市場,2024/10/24,15,47
近江町市場,2024/10/24,16,0
近江町市場,2024/10/24,17,0
近江町市場,2024/10/24,18,0
近江町市場,2024/10/24,19,0
近江町市場,2024/10/24,20,0
近江町市場,2024/10/24,21,0
近江町市場,2024/10/24,22,0
近江町市場,2024/10/24,23,0
兼六園,2024/10/16,0,0
兼六園,2024/10/16,1,0
兼六園,2024/10/16,2,0
兼六園,2024/10/16,3,0
兼六園,2024/10/16,4,0
兼六園,2024/10/16,5,0
兼六園,2024/10/16,6,0
兼六園,2024/10/16,7,0
兼六園,2024/10/16,8,0
兼六園,2024/10/16,9,0
兼六園,2024/10/16,10,0
兼六園,2024/10/16,11,0
兼六園,2024/10/16,12,0
兼六園,2024/10/16,13,0
兼六園,2024/10/16,14,0
兼六園,2024/10/16,15,0
兼六園,2024/10/16,16,0
兼六園,2024/10/16,17,0
兼六園,2024/10/16,18,0
兼六園,2024/10/16,19,0
兼六園,2024/10/16,20,0
兼六園,2024/10/16,21,0
兼六園,2024/10/16,22,0
兼六園,2024/10/16,23,0
兼六園,2024/10/17,0,0
兼六園,2024/10/17,1,0
兼六園,2024/10/17,2,0
兼六園,2024/10/17,3,0
兼六園,2024/10/17,4,0
兼六園,2024/10/17,5,0
兼六園,2024/10/17,6,0
兼六園,2024/10/17,7,0
兼六園,2024/10/17,8,0
兼六園,2024/10/17,9,0
兼六園,2024/10/17,10,0
兼六園,2024/10/17,11,25
兼六園,2024/10/17,12,28
兼六園,2024/10/17,13,30
兼六園,2024/10/17,14,28
兼六園,2024/10/17,15,19
兼六園,2024/10/17,16,18
兼六園,2024/10/17,17,13
兼六園,2024/10/17,18,7
兼六園,2024/10/17,19,8
兼六園,2024/10/17,20,5
兼六園,2024/10/17,21,2
兼六園,2024/10/17,22,2
兼六園,2024/10/17,23,2
兼六園,2024/10/18,0,1
兼六園,2024/10/18,1,0
兼六園,2024/10/18,2,1
兼六園,2024/10/18,3,0
兼六園,2024/10/18,4,2
兼六園,2024/10/18,5,4
兼六園,2024/10/18,6,4
兼六園,2024/10/18,7,8
兼六園,2024/10/18,8,16
兼六園,2024/10/18,9,24
兼六園,2024/10/18,10,25
兼六園,2024/10/18,11,28
兼六園,2024/10/18,12,37
兼六園,2024/10/18,13,38
兼六園,2024/10/18,14,29
兼六園,2024/10/18,15,25
兼六園,2024/10/18,16,20
兼六園,2024/10/18,17,11
兼六園,2024/10/18,18,10
兼六園,2024/10/18,19,7
兼六園,2024/10/18,20,6
兼六園,2024/10/18,21,4
兼六園,2024/10/18,22,1
兼六園,2024/10/18,23,3
兼六園,2024/10/19,0,1
兼六園,2024/10/19,1,0
兼六園,2024/10/19,2,1
兼六園,2024/10/19,3,1
兼六園,2024/10/19,4,2
兼六園,2024/10/19,5,3
兼六園,2024/10/19,6,6
兼六園,2024/10/19,7,11
兼六園,2024/10/19,8,17
兼六園,2024/10/19,9,27
兼六園,2024/10/19,10,30
兼六園,2024/10/19,11,24
兼六園,2024/10/19,12,28
兼六園,2024/10/19,13,32
兼六園,2024/10/19,14,30
兼六園,2024/10/19,15,26
兼六園,2024/10/19,16,20
兼六園,2024/10/19,17,12
兼六園,2024/10/19,18,9
兼六園,2024/10/19,19,8
兼六園,2024/10/19,20,4
兼六園,2024/10/19,21,3
兼六園,2024/10/19,22,2
兼六園,2024/10/19,23,2
兼六園,2024/10/20,0,1
兼六園,2024/10/20,1,1
兼六園,2024/10/20,2,0
兼六園,2024/10/20,3,0
兼六園,2024/10/20,4,2
兼六園,2024/10/20,5,3
兼六園,2024/10/20,6,3
兼六園,2024/10/20,7,8
兼六園,2024/10/20,8,14
兼六園,2024/10/20,9,28
兼六園,2024/10/20,10,28
兼六園,2024/10/20,11,28
兼六園,2024/10/20,12,34
兼六園,2024/10/20,13,36
兼六園,2024/10/20,14,28
兼六園,2024/10/20,15,26
兼六園,2024/10/20,16,17
兼六園,2024/10/20,17,14
兼六園,2024/10/20,18,6
兼六園,2024/10/20,19,7
兼六園,2024/10/20,20,5
兼六園,2024/10/20,21,3
兼六園,2024/10/20,22,2
兼六園,2024/10/20,23,2
兼六園,2024/10/21,0,0
兼六園,2024/10/21,1,1
兼六園,2024/10/21,2,1
兼六園,2024/10/21,3,1
兼六園,2024/10/21,4,2
兼六園,2024/10/21,5,4
兼六園,2024/10/21,6,5
兼六園,2024/10/21,7,11
兼六園,2024/10/21,8,15
兼六園,2024/10/21,9,35
兼六園,2024/10/21,10,36
兼六園,2024/10/21,11,33
兼六園,2024/10/21,12,30
兼六園,2024/10/21,13,30
兼六園,2024/10/21,14,28
兼六園,2024/10/21,15,26
兼六園,2024/10/21,16,19
兼六園,2024/10/21,17,16
兼六園,2024/10/21,18,10
兼六園,2024/10/21,19,8
兼六園,2024/10/21,20,6
兼六園,2024/10/21,21,2
兼六園,2024/10/21,22,2
兼六園,2024/10/21,23,0
兼六園,2024/10/22,0,0
兼六園,2024/10/22,1,0
兼六園,2024/10/22,2,0
兼六園,2024/10/22,3,0
兼六園,2024/10/22,4,2
兼六園,2024/10/22,5,4
兼六園,2024/10/22,6,5
兼六園,2024/10/22,7,9
兼六園,2024/10/22,8,16
兼六園,2024/10/22,9,21
兼六園,2024/10/22,10,24
兼六園,2024/10/22,11,28
兼六園,2024/10/22,12,32
兼六園,2024/10/22,13,34
兼六園,2024/10/22,14,31
兼六園,2024/10/22,15,21
兼六園,2024/10/22,16,15
兼六園,2024/10/22,17,10
兼六園,2024/10/22,18,6
兼六園,2024/10/22,19,9
兼六園,2024/10/22,20,3
兼六園,2024/10/22,21,3
兼六園,2024/10/22,22,2
兼六園,2024/10/22,23,2
兼六園,2024/10/23,0,1
兼六園,2024/10/23,1,2
兼六園,2024/10/23,2,0
兼六園,2024/10/23,3,1
兼六園,2024/10/23,4,2
兼六園,2024/10/23,5,3
兼六園,2024/10/23,6,2
兼六園,2024/10/23,7,4
兼六園,2024/10/23,8,13
兼六園,2024/10/23,9,17
兼六園,2024/10/23,10,20
兼六園,2024/10/23,11,24
兼六園,2024/10/23,12,20
兼六園,2024/10/23,13,15
兼六園,2024/10/23,14,16
兼六園,2024/10/23,15,16
兼六園,2024/10/23,16,10
兼六園,2024/10/23,17,9
兼六園,2024/10/23,18,8
兼六園,2024/10/23,19,4
兼六園,2024/10/23,20,3
兼六園,2024/10/23,21,1
兼六園,2024/10/23,22,2
兼六園,2024/10/23,23,1
兼六園,2024/10/24,0,1
兼六園,2024/10/24,1,0
兼六園,2024/10/24,2,1
兼六園,2024/10/24,3,1
兼六園,2024/10/24,4,3
兼六園,2024/10/24,5,4
兼六園,2024/10/24,6,7
兼六園,2024/10/24,7,12
兼六園,2024/10/24,8,15
兼六園,2024/10/24,9,24
兼六園,2024/10/24,10,31
兼六園,2024/10/24,11,28
兼六園,2024/10/24,12,30
兼六園,2024/10/24,13,31
兼六園,2024/10/24,14,22
兼六園,2024/10/24,15,18
兼六園,2024/10/24,16,0
兼六園,2024/10/24,17,0
兼六園,2024/10/24,18,0
兼六園,2024/10/24,19,0
兼六園,2024/10/24,20,0
兼六園,2024/10/24,21,0
兼六園,2024/10/24,22,0
兼六園,2024/10/24,23,0
金沢城公園,2024/10/16,0,0
金沢城公園,2024/10/16,1,0
金沢城公園,2024/10/16,2,0
金沢城公園,2024/10/16,3,0
金沢城公園,2024/10/16,4,0
金沢城公園,2024/10/16,5,0
金沢城公園,2024/10/16,6,0
金沢城公園,2024/10/16,7,0
金沢城公園,2024/10/16,8,0
金沢城公園,2024/10/16,9,0
金沢城公園,2024/10/16,10,0
金沢城公園,2024/10/16,11,0
金沢城公園,2024/10/16,12,0
金沢城公園,2024/10/16,13,0
金沢城公園,2024/10/16,14,0
金沢城公園,2024/10/16,15,0
金沢城公園,2024/10/16,16,0
金沢城公園,2024/10/16,17,0
金沢城公園,2024/10/16,18,0
金沢城公園,2024/10/16,19,0
金沢城公園,2024/10/16,20,0
金沢城公園,2024/10/16,21,0
金沢城公園,2024/10/16,22,0
金沢城公園,2024/10/16,23,0
金沢城公園,2024/10/17,0,0
金沢城公園,2024/10/17,1,0
金沢城公園,2024/10/17,2,0
金沢城公園,2024/10/17,3,0
金沢城公園,2024/10/17,4,0
金沢城公園,2024/10/17,5,0
金沢城公園,2024/10/17,6,0
金沢城公園,2024/10/17,7,0
金沢城公園,2024/10/17,8,0
金沢城公園,2024/10/17,9,0
金沢城公園,2024/10/17,10,0
金沢城公園,2024/10/17,11,22
金沢城公園,2024/10/17,12,25
金沢城公園,2024/10/17,13,27
金沢城公園,2024/10/17,14,25
金沢城公園,2024/10/17,15,17
金沢城公園,2024/10/17,16,16
金沢城公園,2024/10/17,17,11
金沢城公園,2024/10/17,18,6
